용어명,물리명,도메인유형,도메인,데이터타입,코드명,정의,요청업무,최종요청자,최종수정일시
1회섭취참고량명,RAFOS_NM,명,명V100,VARCHAR(100),,만 3세 이상 소비계층이 통상적으로 소비하는 식품별 1회 섭취량과 시장조사 결과 등을 바탕으로 설정한 값의 이름,공공데이터 공통표준용어 5차(2022-07),행정안전부,2022-07-01 00:00:00
1회투여량,SGLDS,수,"수N15,4","NUMBER(15,4)",,약물이나 주사제 등이 한번에 몸에 투여되는 양,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
API명,API_NM,명,명V300,VARCHAR(300),,"운영 체제, 프로그래밍 언어 등에 있는 라이브러리를 응용 프로그램 개발 시 이용할 수 있도록 규칙들을 정의해 놓은 인터페이스의 이름",공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
API사용여부,API_USE_YN,여부,여부C1,CHAR(1),,"운영 체제, 프로그래밍 언어 등에 있는 라이브러리를 응용 프로그램 개발 시 이용할 수 있도록 규칙들을 정의해 놓은 인터페이스를 사용하였는지 여부",공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
API설명,API_EXPLN,내용,내용V4000,VARCHAR(4000),,"운영 체제, 프로그래밍 언어 등에 있는 라이브러리를 응용 프로그램 개발 시 이용할 수 있도록 규칙들을 정의해 놓은 인터페이스에 대한 설명",공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
CAS번호,CAS_NO,번호,번호V20,VARCHAR(20),,화학적 동질성을 갖는 물질에 대하여 미국 화학회(化學會)에서 부여하는 식별 번호,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
CCTV고유번호,CCTV_UNQ_NO,번호,번호V50,VARCHAR(50),,특정 수신자를 대상으로 화상을 전송하는 텔레비전 전송 시스템을 구분하려고 부여하는 식별 번호,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
CCTV명,CCTV_NM,명,명V100,VARCHAR(100),,특정 수신자를 대상으로 화상을 전송하는 텔레비전 전송 시스템의 이름,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
CI번호,CI_NO,번호,번호V88,VARCHAR(88),,"여러 온라인 서비스에서 동일인을 확인할 수 있는 연계 정보로, 본인인증을 거친 뒤 사업자 간 사용자를 식별할 수 있도록 암호화하여 부여하는 식별 번호",공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
CMS계좌번호,CMS_ACTNO,계좌번호,계좌번호V20,VARCHAR(20),,"은행에 직접 가지 않고도 컴퓨터나 단말기를 통신 회선으로 연결하여 은행이 제공하는 각종 금융 거래 정보를 이용하거나, 자금의 효율적 관리, 자금 대체 따위를 할 수 있는 서비스의 계좌번호",공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
CMS사용여부,CMS_USE_YN,여부,여부C1,CHAR(1),,"은행에 직접 가지 않고도 컴퓨터나 단말기를 통신 회선으로 연결하여 은행이 제공하는 각종 금융 거래 정보를 이용하거나 자금의 효율적 관리, 자금 대체 따위를 할 수 있는 서비스를 사용하는지 여부",공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
CPU명,CPU_NM,명,명V100,VARCHAR(100),,컴퓨터의 중앙처리장치(CPU)의 이름,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
CPU사용률,CPU_USGRT,율,"율N5,2","NUMBER(5,2)",,컴퓨터의 중앙처리장치(CPU)를 점유하여 사용하는 비율,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
CPU속도,CPU_SPD,수,"수N10,3","NUMBER(10,3)",,컴퓨터 시스템 전체의 작동을 통제하고 프로그램의 모든 연산을 수행하는 가장 핵심적인 장치가 연산을 처리하는 빠르기,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
DI번호,DI_NO,번호,번호V64,VARCHAR(64),,"중복가입 확인 정보로, 하나의 서비스 내에서 동일 사용자의 중복 가입을 막고, 계정 구분을 위해 부여하는 식별 번호",공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
EAI전송여부,EAI_TRSM_YN,여부,여부C1,CHAR(1),,기업 내 연관된 모든 애플리케이션을 유기적으로 연동하여 필요한 정보를 집중적으로 통합하는 일을 통신회선을 이용하여 보냈는지 여부,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
EAI전송일시,EAI_TRSM_DT,연월일시분초,연월일시분초D,DATE,,기업 내 연관된 모든 애플리케이션을 유기적으로 연동하여 필요한 정보를 집중적으로 통합하는 일을 통신회선을 이용하여 보낸 날짜와 시각,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
EAI전송일자,EAI_TRSM_YMD,연월일,연월일C8,CHAR(8),,기업 내 연관된 모든 애플리케이션을 유기적으로 연동하여 필요한 정보를 집중적으로 통합하는 일을 통신회선을 이용하여 보낸 날짜,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
EAI처리일시,EAI_PRCS_DT,연월일시분초,연월일시분초D,DATE,,기업 내 연관된 모든 애플리케이션을 유기적으로 연동하여 필요한 정보를 집중적으로 통합하는 일을 정리하거나 마무리 지은 날짜와 시각,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
